Tipo de tienda;Producto de base;Producto variacion precio;Producto variacion stock;Atributo variacion nombre;Atributo variacion valor
Boutique;Camisas Mujeres;42;35;Mangas;Cortas
Boutique;Camisas Mujeres;42;35;Mangas;Largas
Boutique;Camisas Mujeres;42;35;Tallas;S
Boutique;Camisas Mujeres;42;35;Tallas;M
Boutique;Camisas Mujeres;42;35;Tallas;L
Boutique;Camisas Mujeres;42;35;Tallas;X
Boutique;Camisas Mujeres;42;35;Tallas;XL
Boutique;Camisas Mujeres;42;35;Tallas;XXL
Boutique;Camisas Mujeres;42;35;Color;Azul
Boutique;Camisas Mujeres;42;35;Color;Blanca
Boutique;Camisas Mujeres;42;35;Color;Roja
Boutique;Camisas Mujeres;42;35;Color;Verde
Boutique;Camisas Mujeres;42;35;Color;Rosada
Boutique;Camisas Mujeres;42;35;Color;Amarilla
Boutique;Camisas Mujeres;42;35;Color;Morada
Boutique;Camisas Mujeres;42;35;Color;Estampada
Boutique;Camisas Mujeres;60;45;Mangas;Cortas
Boutique;Camisas Mujeres;60;45;Mangas;Largas
Boutique;Camisas Mujeres;60;45;Tallas;S
Boutique;Camisas Mujeres;60;45;Tallas;M
Boutique;Camisas Mujeres;60;45;Tallas;L
Boutique;Camisas Mujeres;60;45;Tallas;X
Boutique;Camisas Mujeres;60;45;Tallas;XL
Boutique;Camisas Mujeres;60;45;Tallas;XXL
Boutique;Camisas Mujeres;60;45;Color;Azul
Boutique;Camisas Mujeres;60;45;Color;Blanca
Boutique;Camisas Mujeres;60;45;Color;Roja
Boutique;Camisas Mujeres;60;45;Color;Verde
Boutique;Camisas Mujeres;60;45;Color;Rosada
Boutique;Camisas Mujeres;60;45;Color;Amarilla
Boutique;Camisas Mujeres;60;45;Color;Morada
Boutique;Camisas Mujeres;60;45;Color;Estampada
Boutique;Camisas Mujeres;27;40;Mangas;Cortas
Boutique;Camisas Mujeres;27;40;Mangas;Largas
Boutique;Camisas Mujeres;27;40;Tallas;S
Boutique;Camisas Mujeres;27;40;Tallas;M
Boutique;Camisas Mujeres;27;40;Tallas;L
Boutique;Camisas Mujeres;27;40;Tallas;X
Boutique;Camisas Mujeres;27;40;Tallas;XL
Boutique;Camisas Mujeres;27;40;Tallas;XXL
Boutique;Camisas Mujeres;27;40;Color;Azul
Boutique;Camisas Mujeres;27;40;Color;Blanca
Boutique;Camisas Mujeres;27;40;Color;Roja
Boutique;Camisas Mujeres;27;40;Color;Verde
Boutique;Camisas Mujeres;27;40;Color;Rosada
Boutique;Camisas Mujeres;27;40;Color;Amarilla
Boutique;Camisas Mujeres;27;40;Color;Morada
Boutique;Camisas Mujeres;27;40;Color;Estampada
Boutique;Camisas Mujeres;32;50;Mangas;Cortas
Boutique;Camisas Mujeres;32;50;Mangas;Largas
Boutique;Camisas Mujeres;32;50;Tallas;S
Boutique;Camisas Mujeres;32;50;Tallas;M
Boutique;Camisas Mujeres;32;50;Tallas;L
Boutique;Camisas Mujeres;32;50;Tallas;X
Boutique;Camisas Mujeres;32;50;Tallas;XL
Boutique;Camisas Mujeres;32;50;Tallas;XXL
Boutique;Camisas Mujeres;32;50;Color;Azul
Boutique;Camisas Mujeres;32;50;Color;Blanca
Boutique;Camisas Mujeres;32;50;Color;Roja
Boutique;Camisas Mujeres;32;50;Color;Verde
Boutique;Camisas Mujeres;32;50;Color;Rosada
Boutique;Camisas Mujeres;32;50;Color;Amarilla
Boutique;Camisas Mujeres;32;50;Color;Morada
Boutique;Camisas Mujeres;32;50;Color;Estampada
Boutique;Camisas Hombres;30;45;Mangas;Cortas
Boutique;Camisas Hombres;30;45;Mangas;Largas
Boutique;Camisas Hombres;30;45;Tallas;S
Boutique;Camisas Hombres;30;45;Tallas;M
Boutique;Camisas Hombres;30;45;Tallas;L
Boutique;Camisas Hombres;30;45;Tallas;X
Boutique;Camisas Hombres;30;45;Tallas;XL
Boutique;Camisas Hombres;30;45;Color;Azul
Boutique;Camisas Hombres;30;45;Color;Blanca
Boutique;Camisas Hombres;30;45;Color;Roja
Boutique;Camisas Hombres;30;45;Color;Verde
Boutique;Camisas Hombres;30;45;Color;Cafe
Boutique;Camisas Hombres;30;45;Color;Amarilla
Boutique;Camisas Hombres;30;45;Color;Negra
Boutique;Camisas Hombres;30;45;Color;Estampada
Boutique;Camisas Hombres;35;45;Mangas;Cortas
Boutique;Camisas Hombres;35;45;Mangas;Largas
Boutique;Camisas Hombres;35;45;Tallas;S
Boutique;Camisas Hombres;35;45;Tallas;M
Boutique;Camisas Hombres;35;45;Tallas;L
Boutique;Camisas Hombres;35;45;Tallas;X
Boutique;Camisas Hombres;35;45;Tallas;XL
Boutique;Camisas Hombres;35;45;Color;Azul
Boutique;Camisas Hombres;35;45;Color;Blanca
Boutique;Camisas Hombres;35;45;Color;Roja
Boutique;Camisas Hombres;35;45;Color;Verde
Boutique;Camisas Hombres;35;45;Color;Cafe
Boutique;Camisas Hombres;35;45;Color;Amarilla
Boutique;Camisas Hombres;35;45;Color;Negra
Boutique;Camisas Hombres;35;45;Color;Estampada
Boutique;Camisas Hombres;40;45;Mangas;Cortas
Boutique;Camisas Hombres;40;45;Mangas;Largas
Boutique;Camisas Hombres;40;45;Tallas;S
Boutique;Camisas Hombres;40;45;Tallas;M
